L1,ID1,L2,ID2
fireCompany,13X302,municipalCourt,4X3
fireCompany,13X302,municipalCourt,4X4
fireCompany,13X303,municipalCourt,4X4
fireCompany,14X304,municipalCourt,4X4
fireCompany,13X305,municipalCourt,4X2
fireCompany,13X305,municipalCourt,4X3
fireCompany,13X305,municipalCourt,4X4
fireCompany,14X306,municipalCourt,4X6
fireCompany,14X307,municipalCourt,4X2
fireCompany,13X308,municipalCourt,4X3
fireCompany,15X309,municipalCourt,3X8
fireCompany,15X310,municipalCourt,3X4
fireCompany,15X310,municipalCourt,3X8
fireCompany,13X311,municipalCourt,4X4
fireCompany,14X312,municipalCourt,4X1
fireCompany,14X313,municipalCourt,4X6
fireCompany,13X314,municipalCourt,4X3
fireCompany,13X314,municipalCourt,4X4
fireCompany,13X315,municipalCourt,4X4
fireCompany,13X315,municipalCourt,4X6
fireCompany,14X316,municipalCourt,4X2
fireCompany,14X316,municipalCourt,4X6
fireCompany,13X317,municipalCourt,4X4
fireCompany,8X318,municipalCourt,3X8
fireCompany,14X319,municipalCourt,4X3
fireCompany,14X320,municipalCourt,4X6
fireCompany,15X321,municipalCourt,3X8
fireCompany,15X323,municipalCourt,3X8
fireCompany,14X324,municipalCourt,4X2
fireCompany,14X324,municipalCourt,4X6
fireCompany,14X325,municipalCourt,4X2
fireCompany,14X326,municipalCourt,4X4
fireCompany,14X326,municipalCourt,4X6
fireCompany,13X328,municipalCourt,4X5
fireCompany,13X329,municipalCourt,4X5
fireCompany,1X33,municipalCourt,1X1
fireCompany,1X33,municipalCourt,1X2
fireCompany,8X330,municipalCourt,3X5
fireCompany,8X330,municipalCourt,3X8
fireCompany,13X331,municipalCourt,4X3
fireCompany,15X332,municipalCourt,3X7
fireCompany,1X34,municipalCourt,1X3
fireCompany,3X35,municipalCourt,1X8
fireCompany,3X37,municipalCourt,1X7
fireCompany,3X37,municipalCourt,1X10
fireCompany,7X38,municipalCourt,2X1
fireCompany,3X39,municipalCourt,1X6
fireCompany,3X39,municipalCourt,1X9
fireCompany,1X4,municipalCourt,1X1
fireCompany,3X40,municipalCourt,1X3
fireCompany,7X42,municipalCourt,2X2
fireCompany,7X43,municipalCourt,2X2
fireCompany,3X44,municipalCourt,1X6
fireCompany,3X44,municipalCourt,1X9
fireCompany,7X45,municipalCourt,2X1
fireCompany,7X45,municipalCourt,2X2
fireCompany,6X46,municipalCourt,2X2
fireCompany,3X47,municipalCourt,1X7
fireCompany,7X48,municipalCourt,2X2
fireCompany,1X5,municipalCourt,1X2
fireCompany,1X5,municipalCourt,1X4
fireCompany,1X5,municipalCourt,1X9
fireCompany,6X50,municipalCourt,2X1
fireCompany,6X50,municipalCourt,2X2
fireCompany,7X52,municipalCourt,2X2
fireCompany,3X53,municipalCourt,1X6
fireCompany,3X53,municipalCourt,1X9
fireCompany,3X54,municipalCourt,1X3
fireCompany,1X55,municipalCourt,1X1
fireCompany,1X55,municipalCourt,1X2
fireCompany,3X58,municipalCourt,1X8
fireCompany,3X58,municipalCourt,1X10
fireCompany,6X59,municipalCourt,1X8
fireCompany,6X59,municipalCourt,1X10
fireCompany,1X6,municipalCourt,1X1
fireCompany,6X60,municipalCourt,2X2
fireCompany,7X62,municipalCourt,2X1
fireCompany,7X63,municipalCourt,2X1
fireCompany,7X63,municipalCourt,2X2
fireCompany,6X64,municipalCourt,2X1
fireCompany,3X65,municipalCourt,1X9
fireCompany,7X66,municipalCourt,2X1
fireCompany,7X67,municipalCourt,1X7
fireCompany,6X68,municipalCourt,2X2
fireCompany,6X69,municipalCourt,1X7
fireCompany,6X69,municipalCourt,1X10
fireCompany,1X7,municipalCourt,1X1
fireCompany,7X70,municipalCourt,2X1
fireCompany,6X71,municipalCourt,2X2
fireCompany,7X72,municipalCourt,2X1
fireCompany,6X73,municipalCourt,2X1
fireCompany,6X73,municipalCourt,2X2
fireCompany,3X74,municipalCourt,1X5
fireCompany,7X75,municipalCourt,2X2
fireCompany,3X76,municipalCourt,1X5
fireCompany,7X79,municipalCourt,2X2
fireCompany,3X8,municipalCourt,1X4
fireCompany,3X8,municipalCourt,1X9
fireCompany,6X80,municipalCourt,1X7
fireCompany,7X81,municipalCourt,1X7
fireCompany,7X81,municipalCourt,2X2
fireCompany,6X82,municipalCourt,2X1
fireCompany,6X83,municipalCourt,2X2
fireCompany,7X84,municipalCourt,1X7
fireCompany,7X88,municipalCourt,2X1
fireCompany,7X88,municipalCourt,2X2
fireCompany,7X89,municipalCourt,2X1
fireCompany,1X9,municipalCourt,1X1
fireCompany,1X9,municipalCourt,1X2
fireCompany,7X90,municipalCourt,2X1
fireCompany,3X91,municipalCourt,1X6
fireCompany,3X91,municipalCourt,1X8
fireCompany,3X91,municipalCourt,1X9
fireCompany,6X92,municipalCourt,2X2
fireCompany,7X93,municipalCourt,1X7
fireCompany,6X94,municipalCourt,2X1
fireCompany,7X95,municipalCourt,1X7
fireCompany,6X96,municipalCourt,2X1
fireCompany,7X97,municipalCourt,2X1
fireCompany,1X1,municipalCourt,1X1
fireCompany,1X10,municipalCourt,1X1
fireCompany,11X101,municipalCourt,3X1
fireCompany,11X102,municipalCourt,3X2
fireCompany,11X102,municipalCourt,3X3
fireCompany,15X103,municipalCourt,3X7
fireCompany,11X104,municipalCourt,3X3
fireCompany,11X105,municipalCourt,3X1
fireCompany,11X105,municipalCourt,3X6
fireCompany,11X106,municipalCourt,3X3
fireCompany,15X107,municipalCourt,3X7
fireCompany,15X107,municipalCourt,4X3
fireCompany,11X108,municipalCourt,3X3
