L1,ID1,L2,ID2
stateSenate,10,neighborhood,QN08
stateSenate,10,neighborhood,QN55
stateSenate,10,neighborhood,QN15
stateSenate,10,neighborhood,QN53
stateSenate,10,neighborhood,QN03
stateSenate,10,neighborhood,QN02
stateSenate,10,neighborhood,QN66
stateSenate,10,neighborhood,QN01
stateSenate,10,neighborhood,QN76
stateSenate,10,neighborhood,QN98
stateSenate,10,neighborhood,QN05
stateSenate,10,neighborhood,QN54
stateSenate,10,neighborhood,QN60
stateSenate,10,neighborhood,QN61
stateSenate,10,neighborhood,QN10
stateSenate,10,neighborhood,QN12
stateSenate,10,neighborhood,QN57
stateSenate,10,neighborhood,QN99
stateSenate,11,neighborhood,QN51
stateSenate,11,neighborhood,QN41
stateSenate,11,neighborhood,QN23
stateSenate,11,neighborhood,QN22
stateSenate,11,neighborhood,QN42
stateSenate,11,neighborhood,QN35
stateSenate,11,neighborhood,QN49
stateSenate,11,neighborhood,QN47
stateSenate,11,neighborhood,QN52
stateSenate,11,neighborhood,QN62
stateSenate,11,neighborhood,QN37
stateSenate,11,neighborhood,QN38
stateSenate,11,neighborhood,QN34
stateSenate,11,neighborhood,QN98
stateSenate,11,neighborhood,QN48
stateSenate,11,neighborhood,QN46
stateSenate,11,neighborhood,QN43
stateSenate,11,neighborhood,QN44
stateSenate,11,neighborhood,QN06
stateSenate,11,neighborhood,QN61
stateSenate,11,neighborhood,QN45
stateSenate,11,neighborhood,QN99
stateSenate,12,neighborhood,QN68
stateSenate,12,neighborhood,QN19
stateSenate,12,neighborhood,QN56
stateSenate,12,neighborhood,QN63
stateSenate,12,neighborhood,MN31
stateSenate,12,neighborhood,QN31
stateSenate,12,neighborhood,QN53
stateSenate,12,neighborhood,QN72
stateSenate,12,neighborhood,QN54
stateSenate,12,neighborhood,QN20
stateSenate,12,neighborhood,QN70
stateSenate,12,neighborhood,QN71
stateSenate,12,neighborhood,BK77
stateSenate,12,neighborhood,QN30
stateSenate,12,neighborhood,QN29
stateSenate,12,neighborhood,QN50
stateSenate,12,neighborhood,BK90
stateSenate,12,neighborhood,BK99
stateSenate,12,neighborhood,BK83
stateSenate,12,neighborhood,QN99
stateSenate,13,neighborhood,QN27
stateSenate,13,neighborhood,QN23
stateSenate,13,neighborhood,QN22
stateSenate,13,neighborhood,QN26
stateSenate,13,neighborhood,QN18
stateSenate,13,neighborhood,QN28
stateSenate,13,neighborhood,QN63
stateSenate,13,neighborhood,QN31
stateSenate,13,neighborhood,QN98
stateSenate,13,neighborhood,QN72
stateSenate,13,neighborhood,BX98
stateSenate,13,neighborhood,QN25
stateSenate,13,neighborhood,QN70
stateSenate,13,neighborhood,QN29
stateSenate,13,neighborhood,QN99
stateSenate,14,neighborhood,QN41
stateSenate,14,neighborhood,QN08
stateSenate,14,neighborhood,QN33
stateSenate,14,neighborhood,QN42
stateSenate,14,neighborhood,QN17
stateSenate,14,neighborhood,QN35
stateSenate,14,neighborhood,QN03
stateSenate,14,neighborhood,QN02
stateSenate,14,neighborhood,QN66
stateSenate,14,neighborhood,QN37
stateSenate,14,neighborhood,QN38
stateSenate,14,neighborhood,QN34
stateSenate,14,neighborhood,QN01
stateSenate,14,neighborhood,QN76
stateSenate,14,neighborhood,QN07
stateSenate,14,neighborhood,QN05
stateSenate,14,neighborhood,QN54
stateSenate,14,neighborhood,QN60
stateSenate,14,neighborhood,QN43
stateSenate,14,neighborhood,QN06
stateSenate,14,neighborhood,QN61
stateSenate,14,neighborhood,QN45
stateSenate,14,neighborhood,QN99
stateSenate,15,neighborhood,QN19
stateSenate,15,neighborhood,QN21
stateSenate,15,neighborhood,QN55
stateSenate,15,neighborhood,QN56
stateSenate,15,neighborhood,QN15
stateSenate,15,neighborhood,QN17
stateSenate,15,neighborhood,QN18
stateSenate,15,neighborhood,QN63
stateSenate,15,neighborhood,QN31
stateSenate,15,neighborhood,QN53
stateSenate,15,neighborhood,QN37
stateSenate,15,neighborhood,QN98
stateSenate,15,neighborhood,QN54
stateSenate,15,neighborhood,QN60
stateSenate,15,neighborhood,QN20
stateSenate,15,neighborhood,QN10
stateSenate,15,neighborhood,QN12
stateSenate,15,neighborhood,QN30
stateSenate,15,neighborhood,QN29
stateSenate,15,neighborhood,QN50
stateSenate,15,neighborhood,BK82
stateSenate,15,neighborhood,QN57
stateSenate,15,neighborhood,BK99
stateSenate,15,neighborhood,QN99
stateSenate,16,neighborhood,QN51
stateSenate,16,neighborhood,QN41
stateSenate,16,neighborhood,QN21
stateSenate,16,neighborhood,QN22
stateSenate,16,neighborhood,QN42
stateSenate,16,neighborhood,QN17
stateSenate,16,neighborhood,QN18
stateSenate,16,neighborhood,QN28
stateSenate,16,neighborhood,QN63
stateSenate,16,neighborhood,QN52
stateSenate,16,neighborhood,QN62
stateSenate,16,neighborhood,QN37
stateSenate,16,neighborhood,QN38
stateSenate,16,neighborhood,QN48
stateSenate,16,neighborhood,QN46
stateSenate,16,neighborhood,QN25
stateSenate,16,neighborhood,QN30
stateSenate,16,neighborhood,QN29
