L1,L2,ID1,ID2
stateAssemblyDistrict,cityCouncil,42,40
stateAssemblyDistrict,cityCouncil,42,44
stateAssemblyDistrict,cityCouncil,42,45
stateAssemblyDistrict,cityCouncil,42,48
stateAssemblyDistrict,cityCouncil,44,35
stateAssemblyDistrict,cityCouncil,44,38
stateAssemblyDistrict,cityCouncil,44,39
stateAssemblyDistrict,cityCouncil,44,40
stateAssemblyDistrict,cityCouncil,44,44
stateAssemblyDistrict,cityCouncil,44,45
stateAssemblyDistrict,cityCouncil,64,38
stateAssemblyDistrict,cityCouncil,64,43
stateAssemblyDistrict,cityCouncil,64,49
stateAssemblyDistrict,cityCouncil,64,50
stateAssemblyDistrict,cityCouncil,64,51
stateAssemblyDistrict,cityCouncil,40,19
stateAssemblyDistrict,cityCouncil,40,20
stateAssemblyDistrict,cityCouncil,40,21
stateAssemblyDistrict,cityCouncil,57,33
stateAssemblyDistrict,cityCouncil,57,35
stateAssemblyDistrict,cityCouncil,57,36
stateAssemblyDistrict,cityCouncil,57,39
stateAssemblyDistrict,cityCouncil,25,19
stateAssemblyDistrict,cityCouncil,25,20
stateAssemblyDistrict,cityCouncil,25,21
stateAssemblyDistrict,cityCouncil,25,23
stateAssemblyDistrict,cityCouncil,25,24
stateAssemblyDistrict,cityCouncil,27,19
stateAssemblyDistrict,cityCouncil,27,20
stateAssemblyDistrict,cityCouncil,27,21
stateAssemblyDistrict,cityCouncil,27,24
stateAssemblyDistrict,cityCouncil,27,29
stateAssemblyDistrict,cityCouncil,35,19
stateAssemblyDistrict,cityCouncil,35,21
stateAssemblyDistrict,cityCouncil,35,22
stateAssemblyDistrict,cityCouncil,35,24
stateAssemblyDistrict,cityCouncil,35,25
stateAssemblyDistrict,cityCouncil,35,29
stateAssemblyDistrict,cityCouncil,62,50
stateAssemblyDistrict,cityCouncil,62,51
stateAssemblyDistrict,cityCouncil,33,23
stateAssemblyDistrict,cityCouncil,33,27
stateAssemblyDistrict,cityCouncil,33,31
stateAssemblyDistrict,cityCouncil,36,21
stateAssemblyDistrict,cityCouncil,36,22
stateAssemblyDistrict,cityCouncil,36,25
stateAssemblyDistrict,cityCouncil,36,26
stateAssemblyDistrict,cityCouncil,49,38
stateAssemblyDistrict,cityCouncil,49,43
stateAssemblyDistrict,cityCouncil,49,44
stateAssemblyDistrict,cityCouncil,49,47
stateAssemblyDistrict,cityCouncil,26,19
stateAssemblyDistrict,cityCouncil,26,20
stateAssemblyDistrict,cityCouncil,26,23
stateAssemblyDistrict,cityCouncil,73,2
stateAssemblyDistrict,cityCouncil,73,4
stateAssemblyDistrict,cityCouncil,73,5
stateAssemblyDistrict,cityCouncil,73,6
stateAssemblyDistrict,cityCouncil,59,32
stateAssemblyDistrict,cityCouncil,59,42
stateAssemblyDistrict,cityCouncil,59,45
stateAssemblyDistrict,cityCouncil,59,46
stateAssemblyDistrict,cityCouncil,59,48
stateAssemblyDistrict,cityCouncil,34,21
stateAssemblyDistrict,cityCouncil,34,22
stateAssemblyDistrict,cityCouncil,34,25
stateAssemblyDistrict,cityCouncil,34,26
stateAssemblyDistrict,cityCouncil,34,30
stateAssemblyDistrict,cityCouncil,39,21
stateAssemblyDistrict,cityCouncil,39,25
stateAssemblyDistrict,cityCouncil,39,26
stateAssemblyDistrict,cityCouncil,39,30
stateAssemblyDistrict,cityCouncil,46,43
stateAssemblyDistrict,cityCouncil,46,47
stateAssemblyDistrict,cityCouncil,46,48
stateAssemblyDistrict,cityCouncil,47,43
stateAssemblyDistrict,cityCouncil,47,44
stateAssemblyDistrict,cityCouncil,47,47
stateAssemblyDistrict,cityCouncil,69,4
stateAssemblyDistrict,cityCouncil,69,6
stateAssemblyDistrict,cityCouncil,69,7
stateAssemblyDistrict,cityCouncil,69,9
stateAssemblyDistrict,cityCouncil,79,8
stateAssemblyDistrict,cityCouncil,79,15
stateAssemblyDistrict,cityCouncil,79,16
stateAssemblyDistrict,cityCouncil,79,17
stateAssemblyDistrict,cityCouncil,84,8
stateAssemblyDistrict,cityCouncil,84,16
stateAssemblyDistrict,cityCouncil,84,17
stateAssemblyDistrict,cityCouncil,84,18
stateAssemblyDistrict,cityCouncil,78,11
stateAssemblyDistrict,cityCouncil,78,13
stateAssemblyDistrict,cityCouncil,78,14
stateAssemblyDistrict,cityCouncil,78,15
stateAssemblyDistrict,cityCouncil,86,10
stateAssemblyDistrict,cityCouncil,86,14
stateAssemblyDistrict,cityCouncil,86,15
stateAssemblyDistrict,cityCouncil,86,16
stateAssemblyDistrict,cityCouncil,86,17
stateAssemblyDistrict,cityCouncil,31,28
stateAssemblyDistrict,cityCouncil,31,31
stateAssemblyDistrict,cityCouncil,31,32
stateAssemblyDistrict,cityCouncil,24,23
stateAssemblyDistrict,cityCouncil,24,24
stateAssemblyDistrict,cityCouncil,24,27
stateAssemblyDistrict,cityCouncil,24,28
stateAssemblyDistrict,cityCouncil,24,29
stateAssemblyDistrict,cityCouncil,24,32
stateAssemblyDistrict,cityCouncil,29,23
stateAssemblyDistrict,cityCouncil,29,24
stateAssemblyDistrict,cityCouncil,29,27
stateAssemblyDistrict,cityCouncil,29,28
stateAssemblyDistrict,cityCouncil,29,31
stateAssemblyDistrict,cityCouncil,77,8
stateAssemblyDistrict,cityCouncil,77,14
stateAssemblyDistrict,cityCouncil,77,15
stateAssemblyDistrict,cityCouncil,77,16
stateAssemblyDistrict,cityCouncil,77,17
stateAssemblyDistrict,cityCouncil,61,49
stateAssemblyDistrict,cityCouncil,61,50
stateAssemblyDistrict,cityCouncil,30,22
stateAssemblyDistrict,cityCouncil,30,25
stateAssemblyDistrict,cityCouncil,30,26
stateAssemblyDistrict,cityCouncil,30,29
stateAssemblyDistrict,cityCouncil,30,30
stateAssemblyDistrict,cityCouncil,37,5
stateAssemblyDistrict,cityCouncil,37,22
stateAssemblyDistrict,cityCouncil,37,26
stateAssemblyDistrict,cityCouncil,37,30
stateAssemblyDistrict,cityCouncil,37,34
stateAssemblyDistrict,cityCouncil,37,37
stateAssemblyDistrict,cityCouncil,23,28
stateAssemblyDistrict,cityCouncil,23,31
stateAssemblyDistrict,cityCouncil,23,32
stateAssemblyDistrict,cityCouncil,23,37
stateAssemblyDistrict,cityCouncil,23,42
stateAssemblyDistrict,cityCouncil,60,32
stateAssemblyDistrict,cityCouncil,60,37
stateAssemblyDistrict,cityCouncil,60,41
stateAssemblyDistrict,cityCouncil,60,42
stateAssemblyDistrict,cityCouncil,60,46
stateAssemblyDistrict,cityCouncil,83,11
stateAssemblyDistrict,cityCouncil,83,12
stateAssemblyDistrict,cityCouncil,83,13
stateAssemblyDistrict,cityCouncil,83,15
stateAssemblyDistrict,cityCouncil,38,28
stateAssemblyDistrict,cityCouncil,38,30
stateAssemblyDistrict,cityCouncil,38,32
stateAssemblyDistrict,cityCouncil,38,34
stateAssemblyDistrict,cityCouncil,38,37
stateAssemblyDistrict,cityCouncil,54,30
stateAssemblyDistrict,cityCouncil,54,32
stateAssemblyDistrict,cityCouncil,54,34
stateAssemblyDistrict,cityCouncil,54,36
stateAssemblyDistrict,cityCouncil,54,37
stateAssemblyDistrict,cityCouncil,54,41
stateAssemblyDistrict,cityCouncil,54,42
